"","Area.Code","Area.Name","Time.period","Value","Decile"
"57476","A81001","The Densham Surgery",2019,32.36093926,8
"57477","A81002","Queens Park Medical Centre",2019,31.92195764,8
"57478","A81004","Bluebell Medical Centre",2019,28.02402606,7
"57479","A81005","Springwood Surgery",2019,15.39820693,4
"57480","A81006","Tennant Street Medical Practice",2019,35.61238709,9
"57481","A81007","Bankhouse Surgery",2019,34.4445324,9
"57482","A81009","Village Medical Centre",2019,35.86584918,9
"57483","A81011","Chadwick Practice",2019,36.30890201,9
"57484","A81012","Westbourne Medical Centre",2019,52.64702092,10
"57485","A81013","Brotton Surgery",2019,29.72275278,8
"57486","A81014","Queenstree Practice",2019,23.2413016,6
"57487","A81016","Park Surgery",2019,44.48916704,10
"57488","A81017","Woodbridge Practice",2019,18.95062853,5
"57489","A81018","Bentley Medical Practice",2019,31.65217693,8
"57490","A81019","Crossfell Health Centre",2019,51.03596365,10
"57491","A81020","Martonside Medical Centre",2019,32.5907881,8
"57492","A81021","Normanby Medical Centre",2019,36.74703152,9
"57493","A81022","Hillside Practice",2019,28.10465509,7
"57494","A81023","The Endeavour Practice",2019,46.72625716,10
"57495","A81025","The Dovecot Surgery",2019,34.54680434,9
"57496","A81026","The Linthorpe Surgery",2019,43.04190562,10
"57497","A81027","Yarm Medical Practice",2019,8.498276515,1
"57498","A81029","Prospect Surgery",2019,48.71806737,10
"57499","A81030","Borough Road & Nunthorpe Medical Group",2019,29.21367425,8
"57500","A81031","Havelock Grange Practice",2019,37.37028971,9
"57501","A81032","The Garth",2019,18.87409624,5
"57502","A81034","Thornaby & Barwick Medical Group",2019,21.20401337,5
"57503","A81035","Newlands Medical Centre",2019,45.50573605,10
"57504","A81036","Norton Medical Centre",2019,28.14896883,7
"57505","A81037","The Erimus Practice",2019,47.20188754,10
"57506","A81038","Hirsel Medical Centre",2019,48.84968334,10
"57507","A81039","Eaglescliffe Medical Practice",2019,9.810949199,1
"57508","A81040","Marsh House Medical Practice",2019,24.15772625,6
"57509","A81041","Hart Medical Practice",2019,35.67246825,9
"57510","A81042","South Grange Medical Group Practice",2019,44.4887079,10
"57511","A81043","The Manor House Surgery",2019,34.88567243,9
"57512","A81044","Mckenzie House Surgery",2019,34.88387014,9
"57513","A81045","The Coatham Road Surgery",2019,30.3384962,8
"57514","A81046","Woodlands Family Medical Centre",2019,31.46987495,8
"57515","A81048","Zetland Medical Practice",2019,17.10870732,4
"57516","A81049","Kings Medical Centre",2019,51.90026988,10
