"","Quarter_number","Vaccine","uptake","Denom","NumGP"
"1",1,"MMR1 2y",90.4964221824687,160992,6840
"2",1,"MMR1 5y",95.0009542440002,167672,6840
"3",1,"MMR2 5y",86.9185075623837,167672,6840
"4",2,"MMR1 2y",90.3642083933237,168777,6807
"5",2,"MMR1 5y",94.9096163653879,176470,6807
"6",2,"MMR2 5y",86.8198560661869,176470,6807
"7",3,"MMR1 2y",90.7301748918179,161071,6738
"8",3,"MMR1 5y",94.5302733683987,169588,6738
"9",3,"MMR2 5y",87.3428544472486,169588,6738
"10",4,"MMR1 2y",91.0217576369504,151533,6733
"11",4,"MMR1 5y",94.8801816452395,162955,6733
"12",4,"MMR2 5y",87.3474272038293,162955,6733
"13",5,"MMR1 2y",91.2646942195275,156354,6656
"14",5,"MMR1 5y",95.0097174819871,168768,6656
"15",5,"MMR2 5y",87.4271188850967,168768,6656
"16",6,"MMR1 2y",90.8557661458743,165197,6641
"17",6,"MMR1 5y",94.745772140632,179760,6641
"18",6,"MMR2 5y",86.9809746328438,179760,6641
"19",7,"MMR1 2y",90.5841911199877,156216,6612
"20",7,"MMR1 5y",94.6387666482091,171565,6612
"21",7,"MMR2 5y",87.3132631947075,171565,6612
"22",8,"MMR1 2y",89.7089651792764,146924,6580
"23",8,"MMR1 5y",94.7384433775701,164343,6580
"24",8,"MMR2 5y",87.0995418119421,164343,6580
"25",9,"MMR1 2y",89.4059640889076,151708,6519
"26",9,"MMR1 5y",94.6071762353749,169058,6519
"27",9,"MMR2 5y",86.9340699641543,169058,6519
"28",10,"MMR1 2y",89.0363065889736,156170,6426
"29",10,"MMR1 5y",94.1283363040811,172796,6426
"30",10,"MMR2 5y",86.1362531540082,172796,6426
"31",11,"MMR1 2y",89.3668348424605,149645,6428
"32",11,"MMR1 5y",94.0108245396547,165365,6428
"33",11,"MMR2 5y",86.2522299156412,165365,6428
"34",12,"MMR1 2y",90.253460063365,143928,6401
"35",12,"MMR1 5y",94.1060543852446,158315,6401
"36",12,"MMR2 5y",86.7075135015633,158315,6401
"37",13,"MMR1 2y",90.3051819485219,146470,6400
"38",13,"MMR1 5y",93.5392867304747,165183,6400
"39",13,"MMR2 5y",85.2575628242616,165183,6400
"40",15,"MMR1 2y",89.5824253650033,146848,6380
"41",15,"MMR1 5y",93.5845810082568,167378,6380
"42",15,"MMR2 5y",86.0250451074813,167378,6380
"43",16,"MMR1 2y",90.1075344391341,142280,6354
"44",16,"MMR1 5y",93.39376102097,157654,6354
"45",16,"MMR2 5y",85.9255077574943,157654,6354
"46",17,"MMR1 2y",90.0200625204125,150031,6321
"47",17,"MMR1 5y",93.2159300465298,163766,6321
"48",17,"MMR2 5y",84.7959893995091,163766,6321
"49",18,"MMR1 2y",89.8326922243076,161439,6296
"50",18,"MMR1 5y",93.0452504725898,169280,6296
"51",18,"MMR2 5y",84.7595699432892,169280,6296
"52",19,"MMR1 2y",89.2997685185185,155520,6270
"53",19,"MMR1 5y",93.0038978543587,164706,6270
"54",19,"MMR2 5y",85.2488676793802,164706,6270
"55",20,"MMR1 2y",89.1633338442887,143522,6258
"56",20,"MMR1 5y",92.7584432293342,155450,6258
"57",20,"MMR2 5y",85.5844322933419,155450,6258
"58",21,"MMR1 2y",89.6933004391239,145517,6230
"59",21,"MMR1 5y",92.328936776271,161490,6230
"60",21,"MMR2 5y",84.4064647965818,161490,6230
"61",22,"MMR1 2y",89.4314069345103,152253,6203
"62",22,"MMR1 5y",92.4121325421663,169033,6203
"63",22,"MMR2 5y",84.6982541870522,169033,6203
